              x            dens            pres            velx            eint
   0.0050000000    1.0000000000    1.0000000000    0.7500000000    2.5000000000
   0.0150000000    1.0000000000    1.0000000000    0.7500000000    2.5000000000
   0.0250000000    1.0000000000    1.0000000000    0.7500000000    2.5000000000
   0.0350000000    1.0000000000    1.0000000000    0.7500000000    2.5000000000
   0.0450000000    1.0000000000    1.0000000000    0.7500000000    2.5000000000
   0.0550000000    1.0000000000    1.0000000000    0.7500000000    2.5000000000
   0.0650000000    1.0000000000    1.0000000000    0.7500000000    2.5000000000
   0.0750000000    1.0000000000    1.0000000000    0.7500000000    2.5000000000
   0.0850000000    1.0000000000    1.0000000000    0.7500000000    2.5000000000
   0.0950000000    1.0000000000    1.0000000000    0.7500000000    2.5000000000
   0.1050000000    1.0000000000    1.0000000000    0.7500000000    2.5000000000
   0.1150000000    1.0000000000    1.0000000000    0.7500000000    2.5000000000
   0.1250000000    1.0000000000    1.0000000000    0.7500000000    2.5000000000
   0.1350000000    1.0000000000    1.0000000000    0.7500000000    2.5000000000
   0.1450000000    1.0000000000    1.0000000000    0.7500000000    2.5000000000
   0.1550000000    1.0000000000    1.0000000000    0.7500000000    2.5000000000
   0.1650000000    1.0000000000    1.0000000000    0.7500000000    2.5000000000
   0.1750000000    1.0000000000    1.0000000000    0.7500000000    2.5000000000
   0.1850000000    1.0000000000    1.0000000000    0.7500000000    2.5000000000
   0.1950000000    1.0000000000    1.0000000000    0.7500000000    2.5000000000
   0.2050000000    1.0000000000    1.0000000000    0.7500000000    2.5000000000
   0.2150000000    0.9942269188    0.9919270291    0.7568466305    2.4942168894
   0.2250000000    0.9596657289    0.9439912745    0.7985132972    2.4591668905
   0.2350000000    0.9260724209    0.8980549916    0.8401799638    2.4243649074
   0.2450000000    0.8934265220    0.8540481906    0.8818466305    2.3898109402
   0.2550000000    0.8617078501    0.8119028559    0.9235132972    2.3555049889
   0.2650000000    0.8308965116    0.7715529034    0.9651799638    2.3214470535
   0.2750000000    0.8009728997    0.7329341394    1.0068466305    2.2876371339
   0.2850000000    0.7719176920    0.6959842198    1.0485132972    2.2540752303
   0.2950000000    0.7437118487    0.6606426094    1.0901799638    2.2207613425
   0.3050000000    0.7163366101    0.6268505429    1.1318466305    2.1876954705
   0.3150000000    0.6897734950    0.5945509853    1.1735132972    2.1548776144
   0.3250000000    0.6640042983    0.5636885937    1.2151799638    2.1223077742
   0.3350000000    0.6390110890    0.5342096791    1.2568466305    2.0899859499
   0.3450000000    0.6147762082    0.5060621693    1.2985132972    2.0579121415
   0.3550000000    0.5912822670    0.4791955718    1.3401799638    2.0260863489
   0.3650000000    0.5798666875    0.4662935668    1.3609055191    2.0103481408
   0.3750000000    0.5798666875    0.4662935668    1.3609055191    2.0103481408
   0.3850000000    0.5798666875    0.4662935668    1.3609055191    2.0103481408
   0.3950000000    0.5798666875    0.4662935668    1.3609055191    2.0103481408
   0.4050000000    0.5798666875    0.4662935668    1.3609055191    2.0103481408
   0.4150000000    0.5798666875    0.4662935668    1.3609055191    2.0103481408
   0.4250000000    0.5798666875    0.4662935668    1.3609055191    2.0103481408
   0.4350000000    0.5798666875    0.4662935668    1.3609055191    2.0103481408
   0.4450000000    0.5798666875    0.4662935668    1.3609055191    2.0103481408
   0.4550000000    0.5798666875    0.4662935668    1.3609055191    2.0103481408
   0.4650000000    0.5798666875    0.4662935668    1.3609055191    2.0103481408
   0.4750000000    0.5798666875    0.4662935668    1.3609055191    2.0103481408
   0.4850000000    0.5798666875    0.4662935668    1.3609055191    2.0103481408
   0.4950000000    0.5798666875    0.4662935668    1.3609055191    2.0103481408
   0.5050000000    0.5798666875    0.4662935668    1.3609055191    2.0103481408
   0.5150000000    0.5798666875    0.4662935668    1.3609055191    2.0103481408
   0.5250000000    0.5798666875    0.4662935668    1.3609055191    2.0103481408
   0.5350000000    0.5798666875    0.4662935668    1.3609055191    2.0103481408
   0.5450000000    0.5798666875    0.4662935668    1.3609055191    2.0103481408
   0.5550000000    0.5798666875    0.4662935668    1.3609055191    2.0103481408
   0.5650000000    0.5798666875    0.4662935668    1.3609055191    2.0103481408
   0.5750000000    0.3397002349    0.4662935668    1.3609055191    3.4316547277
   0.5850000000    0.3397002349    0.4662935668    1.3609055191    3.4316547277
   0.5950000000    0.3397002349    0.4662935668    1.3609055191    3.4316547277
   0.6050000000    0.3397002349    0.4662935668    1.3609055191    3.4316547277
   0.6150000000    0.3397002349    0.4662935668    1.3609055191    3.4316547277
   0.6250000000    0.3397002349    0.4662935668    1.3609055191    3.4316547277
   0.6350000000    0.3397002349    0.4662935668    1.3609055191    3.4316547277
   0.6450000000    0.3397002349    0.4662935668    1.3609055191    3.4316547277
   0.6550000000    0.3397002349    0.4662935668    1.3609055191    3.4316547277
   0.6650000000    0.3397002349    0.4662935668    1.3609055191    3.4316547277
   0.6750000000    0.3397002349    0.4662935668    1.3609055191    3.4316547277
   0.6850000000    0.3397002349    0.4662935668    1.3609055191    3.4316547277
   0.6950000000    0.3397002349    0.4662935668    1.3609055191    3.4316547277
   0.7050000000    0.3397002349    0.4662935668    1.3609055191    3.4316547277
   0.7150000000    0.3397002349    0.4662935668    1.3609055191    3.4316547277
   0.7250000000    0.3397002349    0.4662935668    1.3609055191    3.4316547277
   0.7350000000    0.1250000000    0.1000000000    0.0000000000    2.0000000000
   0.7450000000    0.1250000000    0.1000000000    0.0000000000    2.0000000000
   0.7550000000    0.1250000000    0.1000000000    0.0000000000    2.0000000000
   0.7650000000    0.1250000000    0.1000000000    0.0000000000    2.0000000000
   0.7750000000    0.1250000000    0.1000000000    0.0000000000    2.0000000000
   0.7850000000    0.1250000000    0.1000000000    0.0000000000    2.0000000000
   0.7950000000    0.1250000000    0.1000000000    0.0000000000    2.0000000000
   0.8050000000    0.1250000000    0.1000000000    0.0000000000    2.0000000000
   0.8150000000    0.1250000000    0.1000000000    0.0000000000    2.0000000000
   0.8250000000    0.1250000000    0.1000000000    0.0000000000    2.0000000000
   0.8350000000    0.1250000000    0.1000000000    0.0000000000    2.0000000000
   0.8450000000    0.1250000000    0.1000000000    0.0000000000    2.0000000000
   0.8550000000    0.1250000000    0.1000000000    0.0000000000    2.0000000000
   0.8650000000    0.1250000000    0.1000000000    0.0000000000    2.0000000000
   0.8750000000    0.1250000000    0.1000000000    0.0000000000    2.0000000000
   0.8850000000    0.1250000000    0.1000000000    0.0000000000    2.0000000000
   0.8950000000    0.1250000000    0.1000000000    0.0000000000    2.0000000000
   0.9050000000    0.1250000000    0.1000000000    0.0000000000    2.0000000000
   0.9150000000    0.1250000000    0.1000000000    0.0000000000    2.0000000000
   0.9250000000    0.1250000000    0.1000000000    0.0000000000    2.0000000000
   0.9350000000    0.1250000000    0.1000000000    0.0000000000    2.0000000000
   0.9450000000    0.1250000000    0.1000000000    0.0000000000    2.0000000000
   0.9550000000    0.1250000000    0.1000000000    0.0000000000    2.0000000000
   0.9650000000    0.1250000000    0.1000000000    0.0000000000    2.0000000000
   0.9750000000    0.1250000000    0.1000000000    0.0000000000    2.0000000000
   0.9850000000    0.1250000000    0.1000000000    0.0000000000    2.0000000000
   0.9950000000    0.1250000000    0.1000000000    0.0000000000    2.0000000000
