# Exact Riemann solution for problem: 3
# Discretization: zonal
# Domain bounds: [0.00000e+00,1.00000e+00]
# Iterface position: 5.00000e-01
# Gamma: 1.40000e+00
# Left  state [dens,velx,pres]: [1.00000e+00, 0.00000e+00, 1.00000e+03]
# Right state [dens,velx,pres]: [1.00000e+00, 0.00000e+00, 1.00000e-02]
# Time: 1.20000e-02
                x              dens              pres              velx              eint              cspd
  4.750000000e-01   5.750622985e-01   4.608937875e+02   1.959745139e+01   2.003668945e+03   3.349708359e+01
  4.850000000e-01   5.750622985e-01   4.608937875e+02   1.959745139e+01   2.003668945e+03   3.349708359e+01
  4.950000000e-01   5.750622985e-01   4.608937875e+02   1.959745139e+01   2.003668945e+03   3.349708359e+01
  5.050000000e-01   5.750622985e-01   4.608937875e+02   1.959745139e+01   2.003668945e+03   3.349708359e+01
  5.150000000e-01   5.750622985e-01   4.608937875e+02   1.959745139e+01   2.003668945e+03   3.349708359e+01
  5.250000000e-01   5.750622985e-01   4.608937875e+02   1.959745139e+01   2.003668945e+03   3.349708359e+01
  5.350000000e-01   5.750622985e-01   4.608937875e+02   1.959745139e+01   2.003668945e+03   3.349708359e+01
  5.450000000e-01   5.750622985e-01   4.608937875e+02   1.959745139e+01   2.003668945e+03   3.349708359e+01
  5.550000000e-01   5.750622985e-01   4.608937875e+02   1.959745139e+01   2.003668945e+03   3.349708359e+01
  5.650000000e-01   5.750622985e-01   4.608937875e+02   1.959745139e+01   2.003668945e+03   3.349708359e+01
  5.750000000e-01   5.750622985e-01   4.608937875e+02   1.959745139e+01   2.003668945e+03   3.349708359e+01
  5.850000000e-01   5.750622985e-01   4.608937875e+02   1.959745139e+01   2.003668945e+03   3.349708359e+01
  5.950000000e-01   5.750622985e-01   4.608937875e+02   1.959745139e+01   2.003668945e+03   3.349708359e+01
  6.050000000e-01   5.750622985e-01   4.608937875e+02   1.959745139e+01   2.003668945e+03   3.349708359e+01
  6.150000000e-01   5.750622985e-01   4.608937875e+02   1.959745139e+01   2.003668945e+03   3.349708359e+01
  6.250000000e-01   5.750622985e-01   4.608937875e+02   1.959745139e+01   2.003668945e+03   3.349708359e+01
  6.350000000e-01   5.750622985e-01   4.608937875e+02   1.959745139e+01   2.003668945e+03   3.349708359e+01
  6.450000000e-01   5.750622985e-01   4.608937875e+02   1.959745139e+01   2.003668945e+03   3.349708359e+01
  6.550000000e-01   5.750622985e-01   4.608937875e+02   1.959745139e+01   2.003668945e+03   3.349708359e+01
  6.650000000e-01   5.750622985e-01   4.608937875e+02   1.959745139e+01   2.003668945e+03   3.349708359e+01
  6.750000000e-01   5.750622985e-01   4.608937875e+02   1.959745139e+01   2.003668945e+03   3.349708359e+01
  6.850000000e-01   5.750622985e-01   4.608937875e+02   1.959745139e+01   2.003668945e+03   3.349708359e+01
