# Exact Riemann solution for problem: user
# Discretization: zonal
# Domain bounds: [0.00000e+00,1.00000e+00]
# Iterface position: 5.00000e-01
# Gamma: 1.40000e+00
# Left  state [dens,velx,pres]: [1.40000e+00, 0.00000e+00, 1.00000e+00]
# Right state [dens,velx,pres]: [1.00000e+00, 0.00000e+00, 1.00000e+00]
# Time: 1.00000e+00
                x              dens              pres              velx              eint              cspd
  5.000000000e-03   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  1.500000000e-02   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  2.500000000e-02   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  3.500000000e-02   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  4.500000000e-02   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  5.500000000e-02   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  6.500000000e-02   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  7.500000000e-02   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  8.500000000e-02   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  9.500000000e-02   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  1.050000000e-01   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  1.150000000e-01   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  1.250000000e-01   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  1.350000000e-01   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  1.450000000e-01   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  1.550000000e-01   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  1.650000000e-01   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  1.750000000e-01   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  1.850000000e-01   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  1.950000000e-01   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  2.050000000e-01   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  2.150000000e-01   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  2.250000000e-01   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  2.350000000e-01   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  2.450000000e-01   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  2.550000000e-01   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  2.650000000e-01   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  2.750000000e-01   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  2.850000000e-01   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  2.950000000e-01   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  3.050000000e-01   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  3.150000000e-01   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  3.250000000e-01   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  3.350000000e-01   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  3.450000000e-01   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  3.550000000e-01   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  3.650000000e-01   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  3.750000000e-01   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  3.850000000e-01   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  3.950000000e-01   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  4.050000000e-01   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  4.150000000e-01   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  4.250000000e-01   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  4.350000000e-01   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  4.450000000e-01   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  4.550000000e-01   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  4.650000000e-01   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  4.750000000e-01   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  4.850000000e-01   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  4.950000000e-01   1.400000000e+00   1.000000000e+00   0.000000000e+00   1.785714286e+00   1.000000000e+00
  5.050000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  5.150000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  5.250000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  5.350000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  5.450000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  5.550000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  5.650000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  5.750000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  5.850000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  5.950000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  6.050000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  6.150000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  6.250000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  6.350000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  6.450000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  6.550000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  6.650000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  6.750000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  6.850000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  6.950000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  7.050000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  7.150000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  7.250000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  7.350000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  7.450000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  7.550000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  7.650000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  7.750000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  7.850000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  7.950000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  8.050000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  8.150000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  8.250000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  8.350000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  8.450000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  8.550000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  8.650000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  8.750000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  8.850000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  8.950000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  9.050000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  9.150000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  9.250000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  9.350000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  9.450000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  9.550000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  9.650000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  9.750000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  9.850000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  9.950000000e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
